,Station_ID,Station_name,Lat,Lng,Summer_Pop_Start,Summer_Pop_End,Winter_Pop_Start,Winter_Pop_End
0,315,South St & Gouverneur Ln,40.70355377,-74.00670227,6122,4497,1395,1478
1,3224,W 13 St & Hudson St,40.73997354,-74.00513873,0,0,2108,2192
2,386,Centre St & Worth St,40.71494807,-74.00234482,2963,2212,1025,1022
3,466,W 25 St & 6 Ave,40.74395411,-73.99144871,5913,4338,2472,2518
4,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,5548,4282,2287,2347
5,453,W 22 St & 8 Ave,40.74475148,-73.99915362,8705,6662,2428,2455
6,3092,Berry St & N 8 St,40.7190095,-73.95852515,0,878,944,931
7,3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.95469200000001,0,285,573,583
8,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,4910,3763,1928,1999
9,319,Fulton St & Broadway,40.711065999999995,-74.009447,4885,3635,1563,1545
10,507,E 25 St & 2 Ave,40.73912601,-73.97973776,5215,3573,2345,2338
11,483,E 12 St & 3 Ave,40.73223272,-73.98889957,5733,4403,2521,2566
12,3413,Wyckoff St & 3 Ave,40.6827549,-73.98258555,0,316,347,377
13,146,Hudson St & Reade St,40.71625008,-74.0091059,3418,2576,980,966
14,308,St James Pl & Oliver St,40.71307916,-73.99851193,2479,1957,999,1017
15,3168,Central Park West & W 85 St,40.78472675,-73.96961715,0,931,1320,1366
16,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,4837,1408,1272,1175
17,490,8 Ave & W 33 St,40.751551,-73.993934,10302,7026,4281,4368
18,501,FDR Drive & E 35 St,40.744219,-73.97121214,5311,3710,1566,1525
19,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,1301,569,498,469
20,3137,5 Ave & E 73 St,40.77282817,-73.96685276,0,965,1260,1237
21,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,0,169,271,269
22,3143,5 Ave & E 78 St,40.77632142,-73.96427393,0,915,1093,1089
23,470,W 20 St & 8 Ave,40.74345335,-74.00004031,0,0,2606,2628
24,3576,Park Pl & Vanderbilt Ave,40.6767,-73.969024,0,457,491,466
25,3148,E 84 St & 1 Ave,40.77565541,-73.95068615,0,649,679,700
26,3294,E 91 St & Park Ave,40.7835016,-73.955327,0,246,547,498
27,3602,31 Ave & 34 St,40.763154,-73.920827,0,54,255,250
28,3282,5 Ave & E 88 St,40.78307,-73.95939,0,1197,1072,1054
29,2003,1 Ave & E 18 St,40.73381219,-73.98054421,0,3535,2210,2291
30,331,Pike St & Monroe St,40.71173107,-73.99193043,2022,1638,782,794
31,322,Clinton St & Tillary St,40.696191999999996,-73.991218,1717,1007,470,414
32,3418,Plaza St West & Flatbush Ave,40.675020700000005,-73.97111473,0,333,795,597
33,447,8 Ave & W 52 St,40.76370739,-73.9851615,5186,3431,1750,1740
34,382,University Pl & E 14 St,40.73492695,-73.99200509,7559,5733,3181,3342
35,393,E 5 St & Avenue C,40.72299208,-73.97995466,2267,1716,1015,1089
36,519,Pershing Square North,40.751872999999996,-73.97770600000001,8297,9470,8080,8026
37,3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,0,295,443,453
38,3447,E 71 St & 1 Ave,40.76703432,-73.9562273,0,111,595,601
39,498,Broadway & W 32 St,40.74854862,-73.98808416,6986,4117,2699,2694
40,3163,Central Park West & W 68 St,40.7734066,-73.97782542,0,1761,1627,1576
41,3314,W 95 St & Broadway,40.7937704,-73.971888,0,506,953,929
42,3289,W 90 St & Amsterdam Ave,40.79017948,-73.97288918,0,326,654,560
43,285,Broadway & E 14 St,40.73454567,-73.99074142,10330,7820,4223,4296
44,238,Bank St & Washington St,40.7361967,-74.00859207,3212,2412,1148,1168
45,358,Christopher St & Greenwich St,40.73291553,-74.00711384,9346,6809,3068,3160
46,257,Lispenard St & Broadway,40.71939226,-74.00247214,3915,2998,1549,1576
47,3595,35 St & Broadway,40.760339,-73.9222427,0,37,140,138
48,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,0,5996,3351,3484
49,3160,Central Park West & W 76 St,40.77896784,-73.97374737,0,930,920,887
50,376,John St & William St,40.70862144,-74.00722156,2521,1941,1195,1203
51,449,W 52 St & 9 Ave,40.76461837,-73.98789473,0,0,1136,1122
52,339,Avenue D & E 12 St,40.72580614,-73.97422494,1705,984,523,394
53,491,E 24 St & Park Ave S,40.74096374,-73.98602213,6196,4470,2750,2762
54,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,0,0,3561,3661
55,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,0,3154,2305,2299
56,296,Division St & Bowery,40.71413089,-73.99704679999999,3447,2741,1494,1596
57,128,MacDougal St & Prince St,40.72710258,-74.00297088,6752,5159,2208,2281
58,524,W 43 St & 6 Ave,40.75527307,-73.98316936,0,3001,1822,1799
59,3047,Halsey St & Tompkins Ave,40.682368700000005,-73.944118,0,343,321,327
60,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,1713,921,587,531
61,3249,Verona Pl & Fulton St,40.68035608,-73.9476791,0,240,285,286
62,3081,Graham Ave & Grand St,40.711863,-73.944024,0,357,335,334
63,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,0,4314,2941,2937
64,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,0,832,1368,1284
65,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,0,212,861,860
66,3431,E 35 St & 3 Ave,40.746524,-73.977885,0,2024,1309,1318
67,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,0,3194,2202,2214
68,326,E 11 St & 1 Ave,40.72953837,-73.98426726,5000,3856,2033,2052
69,3430,Richardson St & N Henry St,40.71907891,-73.94223690000001,0,98,496,500
70,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,0,538,1206,1200
71,3124,46 Ave & 5 St,40.74731,-73.95451,0,81,496,501
72,477,W 41 St & 8 Ave,40.75640548,-73.9900262,10108,6479,4256,4267
73,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,5699,4327,2228,2293
74,504,1 Ave & E 16 St,40.73221853,-73.98165557,6790,5042,3147,3200
75,502,Henry St & Grand St,40.714215,-73.981346,3302,2628,1803,1842
76,3259,9 Ave & W 28 St,40.74937024,-73.99923384,0,0,1525,1536
77,497,E 17 St & Broadway,40.73704984,-73.99009296,11860,8778,4503,4924
78,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,0,2000,1651,1709
79,3420,Douglass St & 3 Ave,40.6802133,-73.98432695,0,444,706,806
80,3288,E 88 St & 1 Ave,40.778301,-73.9488134,0,0,797,832
81,3427,Lafayette St & Jersey St,40.72430527,-73.99600983,0,5090,2596,2569
82,3016,Kent Ave & N 7 St,40.72036775,-73.96165073,0,1652,1182,1353
83,499,Broadway & W 60 St,40.76915505,-73.98191841,9151,3067,3112,3088
84,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,6605,4452,1489,1516
85,3298,Warren St & Court St,40.686371,-73.99383324,0,521,561,580
86,293,Lafayette St & E 8 St,40.73020661,-73.99102628,8810,6799,3616,3701
87,3165,Central Park West & W 72 St,40.77579377,-73.97620574,0,1436,1659,1618
88,545,E 23 St & 1 Ave,40.736502,-73.97809472,0,4039,2705,2729
89,317,E 6 St & Avenue B,40.72453734,-73.98185424,4048,2926,1860,2095
90,448,W 37 St & 10 Ave,40.75660359,-73.9979009,4704,3102,1827,1835
91,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,0,2414,1851,1820
92,479,9 Ave & W 45 St,40.76019252,-73.9912551,6648,3651,2653,2696
